Artists	Album	Title	Genre
Jesus Volt	In-Stereo		Rock
Jidenna	The Chief		Hip-Hop/Rap
Jimi Hendrix	The Cry of Love		Pop
Jimmy Bosch	Salsa Dura		Salsa and Tropical
Jimmy Smith - Jimmy Smith	Back at the Chicken Shack	Back at the Chicken Shack	Jazz
Jiro Inagaki & Soul Media	In the grovve	Raven Speaks	jazz
Joan Osborne	Relish		Alternative
Joe Bataan - Joe Bataan	Call My Name	Call My Name	Latino
John Carpenter - John Carpenter	The End - Single	The End	Dance
John Coltrane - John Coltrane	Blue World	Naima (Take 1)	Jazz
John Lee Hooker	The Essential: John Lee Hooker		Blues
John Lennon	Rock 'N' Roll		Rock
John Scofield - John Scofield	Combo 66	Can’t Dance	Jazz
Johnny "Guitar" Watson - Johnny "Guitar" Watson	At Uncle Pö's Carnegie Hall, Hamburg 1976	Mr. Magic	Jazz
Joni Mitchell	Mingus		Pop
Josh Ritter	The Animal Years		Singer/Songwriter
Jungle	Jungle		Electronic
Karim Baggili	Kali City		World
Katia & Marielle Labèque	Sisters		Classical
Keith Jarrett Trio - Keith Jarrett	Somewhere Before	My Back Pages	Jazz
Keith Jarrett, Gary Peacock & Jack DeJohnette - Keith Jarrett, Gary Peacock & Jack DeJohnette	Standards, Vol. 1	Meaning of the Blues	Jazz
Kenny Barron Trio	Book of Intuition		Jazz
Kenny Garrett - Kenny Garrett	Do Your Dance!	Philly	Jazz
Kenny Neal	Bloodline		Contemporary Blues
Khruangbin	The Universe Smiles Upon You		Alternative
King George	It Is What It Is		Hip-Hop/Rap
Kishi Bashi	Omoiyari		Indie Pop
Kiss	Dynasty	I Was Made for Lovin' You	rock
Kiss - Ace Frehley	Kiss: Ace Frehley	Rip It Out	Hard Rock
Kosuke Mine Quintet	Mine	Dream Eyes	jazz
L (Raphaële Lannadère)	Initiale (Deluxe Edition)		French Pop
La Chanson du Dimanche	Plante un arbre		French Pop
Lalo Schifrin	Dirty Harry		Soundtrack
Le Trio Joubran - Le Trio Joubran	The Long March	Time Must Go By	World
Led Zeppelin - Led Zeppelin	Houses of the Holy (Remastered)	The Song Remains the Same	Rock
Leonard Nimoy		Music to Watch Space Girls By
Les Rita Mitsouko	Acoustiques		Rock
Lester Young	Boston 1950 (feat. Jesse Drakes, Horace Silver, Franklin Skeete & Connie Kay)		Jazz
Little Richard	The Very Best of Little Richard		R&B/Soul
Lomepal	FLIP (Deluxe)		Hip-Hop/Rap
Looking Glass	Brandy (You're a Fine Girl)	Brandy (You're a Fine Girl)	pop
Looking Glass - Looking Glass	Looking Glass	Brandy (You're A Fine Girl)	Pop
Los Bravos	Dame un Poco de Amor		Latino
Lucky Peterson	Black Midnight Sun (feat. Bill Laswell & Jerome "Bigfoot" Brailey)		Jazz
Lurrie Bell	Can't Shake This Feeling		Chicago Blues
M	Je dis aime		Pop
Mariama - Mariama	No Way - EP	No Way	Pop
Marilyn Moore	Moody (Remastered)		Jazz
Mario Biondi	Handful of Soul		Jazz
Marvin Gaye	Gold		R&B/Soul
Marvin Gaye & Tammi Terrell	United		R&B/Soul
Method Man	Tical 0 - The Prequel		Hip-Hop/Rap
Method Man & Redman	Blackout!		Hip-Hop/Rap
Michael Jackson - Michael Jackson	Thriller	Wanna Be Startin' Somethin'	Pop
Michel Plasson, Orchestre du Capitole de Toulouse & Natalie Dessay	Delibes: Lakme		Classical
Miles Davis - Miles Davis	Kind of Blue	So What	Jazz
Minoru Muraoka	Bamboo	Take five	jazz
Moby	Play		Dance
Moloko	Things to Make and Do		Pop
Monk Montgomery	It's Never Too Late		Jazz
Muddy Waters	Hard Again		Blues
Mulatu Astatke	Éthiopiques, Vol. 4: Ethio Jazz & Musique Instrumentale (1969-1974)		World
Musica Nuda	55/21		Jazz
Måneskin	Il ballo della vita		Pop
N'Klabe	I Love Salsa		Salsa and Tropical
Nacio Herb Brown & Arthur Freed - Nacio Herb Brown, Arthur Freed & Gene Kelly	Chantons Sous La Pluie (Bande Originale du Film) [with Arthur Freed]	Singin'In The Rain (with Arthur Freed)	Soundtrack
Naoto Takenaka - Naoto Takenaka	Mama and Countrybeer	Mama and Countrybeer	J-Pop
Neil Young	Peace Trail		Rock
New Model Army	Thunder and Consolation		Rock
New York Ska-Jazz Ensemble	Step Forward		Jazz
Niagara	Quel enfer		Pop
Nicki Minaj	Queen		Hip-Hop/Rap
Nirvana	Nevermind		Rock
No Doubt	Tragic Kingdom		Pop
Noir Désir	666.667 Club		Rock
Norman Greenbaum	Spirit In The Sky		Rock
Noro Morales	Rumba Rhapsody		Jazz
Oliver “Tuku” Mtukudzi	One Night at 60 (Live)		African
Opera Lafayette Orchestra & Ryan Brown	Monsigny: Le roi et le fermier		Classical
Orchestre Poly Rythmo	Cotonou Club		World
Original London Cast	The Phantom of the Opera		Soundtrack
Orishas	A Lo Cubano		Latin Urban
Orquesta Tabaco y Ron	Salsa En Vivo		Salsa and Tropical
Oscar D'León	Exitos Vol.1 - Oscar D'León -		Latino
Oscar Peterson	Lullaby of Birdland - Oscar Peterson Plays Harry Warren (Bonus Track Version)		Jazz
Oscar Peterson Trio - Oscar Peterson Trio	The Legendary Oscar Peterson Trio Live At the Blue Note	Introductions	Jazz
Otis Blackwell	Blues & Rhythm Series Classics: The Chronological - Otis Blackwell - 1952-1954		Blues
Oumou Sangaré - Oumou Sangaré	Mogoya	Bena Bena	Alternative
Outkast	Stankonia		Hip-Hop/Rap
Paolo Conte	Paolo Conte		Pop
Paolo Fresu Quintet	Songlines / Night and Blue		Jazz
Paolo Fresu, Richard Galliano & Jan Lundgren	Mare Nostrum II (Bonus Track Version)		Jazz
Papooz	Night Sketches		Alternative
Parliament	Funkentelechy vs. The Placebo Syndrome	Flash Light	funk
Parliament - Parliament	Funkentelechy Vs. The Placebo Syndrome	Flash Light	R&B/Soul
Pat Metheny - Pat Metheny	Bright Size Life	Bright Size Life	Pop
Paul McCartney	Off the Ground		Pop
Paul McCartney & Wings - Paul McCartney & Wings	Band On the Run (Remastered)	Band On the Run	Rock
Pearl Jam	Ten		Alternative
Percy Mayfield	Blues & Rhythm Series Classics: The Chronological - Percy Mayfield - 1951-1954		Blues
Peter Gabriel	Peter Gabriel 3: Melt (Remastered)		Rock
Petra Müllejans & Kristian Bezuidenhout	Mozart: Sonatas for fortepiano & violin		Classical
Phil Collins	...But Seriously (Remastered)		Pop
Phil Spector	Wall of Sound: The Very Best of Phil Spector 1961-1966		Pop
Philip Bailey	Love Will Find a Way		Jazz
Philip Sayce	Innerevolution		Blues
Philippe Clay	Tous les tubes		Pop
Pietro Spagnoli, Giuliano Carella & Trieste Teatro Verdi Orchestra	Paisiello: Il Barbiere di Siviglia		Classical
Pink Floyd			Rock
Pino Daniele	Nero a metà (Special Extended Edition)		Blues
Pixies	Doolittle		Hard Rock
Plantlife	Time Traveller		R&B/Soul
Pleasure	Dust Yourself Off/Accept No Substitutes		R&B/Soul
Portishead	Portishead		Electronic
Pretty Purdie	Soul Drums (Expanded Edition)		Jazz
Pédro Kouyaté - Pédro Kouyaté	One	Niaréla	Crossover Jazz
Quartetto Italiano - Quartetto Italiano	Schubert: "Death & the Maiden" and "Rosamunde" String Quartets	String Quartet No. 14 in D Minor, D. 810, "Death and the Maiden": I. Allegro	Classical
Quatuor de Budapest - Quatuor de Budapest	Schubert: Quintette avec piano "La Truite" & Quintette à deux violoncelles (Les indispensables de Diapason)	Quintette pour piano, violon, alto, violoncelle et contrebasse in A Major, Op. 114, D. 667 "La truite": I. Allegro vivace	Classical
Queen	The Miracle		Rock
Quincy Jones	Anthology		Jazz
R-Wan	Radio Cortex 2		Hip-Hop/Rap
R.E.M.	New Adventures in Hi-Fi		Rock
R.Wan	Peau rouge		French Pop
RYO the SKYWALKER & トータス松本 - RYO the SKYWALKER & トータス松本	Ohayou Japan	Ohayou Japan	Reggae
Rachid Taha	Diwan		World
Radiohead	Pablo Honey		Alternative
Raphael Saadiq	Stone Rollin'		R&B/Soul
Raspberries	Capitol Collectors Series		Pop
Rasputin's Stash	Rasputin's Stash (Remastered)		Funk
Raul Paz	Mulata		Alternative and Latin Rock
Ray Barretto	The Latin Soul Man		Salsa and Tropical
Ray Camacho & The Teardrops - Ray Camacho & The Teardrops	Si Si Puede	Si Si Puede	Latino
Ray Charles	Live At l'Olympia		Soul
Red Hot Chili Peppers	Blood Sugar Sex Magik		Alternative
René Aubry	Après la pluie		Alternative
Rodriguez	Coming From Reality		Rock
Roger Hodgson - Roger Hodgson	In The Eye of The Storm	Had a Dream (Sleeping With the Enemy)	Rock
Roger Waters	Amused to Death		Rock
Rokia Traoré	Tchamantché		World
Ronny Jordan - Ronny Jordan	The Rough and the Smooth	Stop!	Jazz
Rory Gallagher	Irish Tour ‘74 (Live / Remastered 2017)		Blues
Ruppert Pupkin	Run		Pop
